# CoordinateSystem: PROJCS["SIRGAS 2000 / UTM zone 22S",GEOGCS["SIRGAS 2000",DATUM["Sistema de Referencia Geocentrico para las AmericaS 2000",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6674"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4674"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",-51],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",10000000],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","31982"]]
#Label	X/Easting	Y/Northing	Z/Altitude	Accuracy_X/Y/Z_(m)	Error_(m)	X_error	Y_error	Z_error	X_est	Y_est	Z_est
V17	677322.177000	7183669.851000	901.915000	0.005000	0.107362	0.020356	0.015757	-0.104230	677322.197353	7183669.866755	901.810770
V18	677369.622000	7183735.892000	904.369400	0.005000	0.036746	-0.014515	0.029624	-0.016187	677369.607487	7183735.921619	904.353213
V19	677410.871000	7183822.590000	912.591700	0.005000	0.085483	0.002393	-0.019706	0.083146	677410.873393	7183822.570297	912.674846
V21	677466.906000	7183972.095000	908.485170	0.005000	0.092524	0.069758	-0.058520	-0.016430	677466.975747	7183972.036489	908.468740
V22	677526.482000	7184003.940000	906.192700	0.005000	0.143650	0.079509	-0.051026	-0.108213	677526.561497	7184003.888982	906.084487
V23	677503.347000	7184042.717000	905.287100	0.005000	0.061874	0.005601	-0.020575	-0.058084	677503.352600	7184042.696428	905.229016
V24	677545.686000	7184080.811000	906.125700	0.005000	0.081383	0.075917	0.029149	0.003195	677545.761906	7184080.840144	906.128895
V26	677549.999000	7184185.238000	906.721740	0.005000	0.178627	0.154301	0.055347	-0.070959	677550.153278	7184185.293339	906.650781
V28	677656.859000	7184427.859000	914.391400	0.005000	0.100862	0.056945	0.043802	0.070794	677656.915936	7184427.902795	914.462194
#Total error					0.070917	0.042814	0.045533	0.033510			
